time_ps,cv1_distance_A
2.119999885559082031e+01,3.421327829360961914e+00
2.123999977111816406e+01,3.447442531585693359e+00
2.127999877929687500e+01,3.485591411590576172e+00
2.131999969482421875e+01,3.516194581985473633e+00
2.135999870300292969e+01,3.532814025878906250e+00
2.139999961853027344e+01,3.449743986129760742e+00
2.143999862670898438e+01,3.439414501190185547e+00
2.147999954223632812e+01,3.471674919128417969e+00
2.152000045776367188e+01,3.515741586685180664e+00
2.155999946594238281e+01,3.609668016433715820e+00
2.160000038146972656e+01,3.439700841903686523e+00
2.163999938964843750e+01,3.510942935943603516e+00
2.168000030517578125e+01,3.459487438201904297e+00
2.171999931335449219e+01,3.524982929229736328e+00
2.176000022888183594e+01,3.422163724899291992e+00
2.179999923706054688e+01,3.604395866394042969e+00
2.184000015258789062e+01,3.408446788787841797e+00
2.187999916076660156e+01,3.572704553604125977e+00
2.192000007629394531e+01,3.497853279113769531e+00
2.195999908447265625e+01,3.480131387710571289e+00
2.200000000000000000e+01,3.471134424209594727e+00
2.203999900817871094e+01,3.447336912155151367e+00
2.207999992370605469e+01,3.467993736267089844e+00
2.211999893188476562e+01,3.477286577224731445e+00
2.215999984741210938e+01,3.453763723373413086e+00
2.219999885559082031e+01,3.466250181198120117e+00
2.223999977111816406e+01,3.514500379562377930e+00
2.227999877929687500e+01,3.458777904510498047e+00
2.231999969482421875e+01,3.510823726654052734e+00
2.235999870300292969e+01,3.443990707397460938e+00
2.239999961853027344e+01,3.492678880691528320e+00
2.243999862670898438e+01,3.491451978683471680e+00
2.247999954223632812e+01,3.495548963546752930e+00
2.251999855041503906e+01,3.597286224365234375e+00
2.255999946594238281e+01,3.560051202774047852e+00
2.260000038146972656e+01,3.464976787567138672e+00
2.263999938964843750e+01,3.502603292465209961e+00
2.268000030517578125e+01,3.483237504959106445e+00
2.271999931335449219e+01,3.466096401214599609e+00
2.276000022888183594e+01,3.403649806976318359e+00
2.279999923706054688e+01,3.514230012893676758e+00
2.284000015258789062e+01,3.532250881195068359e+00
2.287999916076660156e+01,3.473016977310180664e+00
2.292000007629394531e+01,3.452944755554199219e+00
2.295999908447265625e+01,3.501254081726074219e+00
2.300000000000000000e+01,3.471294403076171875e+00
2.303999900817871094e+01,3.399310111999511719e+00
2.307999992370605469e+01,3.634052276611328125e+00
